"p_value","log_fold_change","gene","adjusted_p_value"
0.731687255540641,153.456935423868,"S6",0.842548960925587
0.491278466325382,422.127739338868,"CD127/IL7RA",0.718022373860174
0.303737139239844,-25515.5161609782,"Histone H3",0.577100564555703
0.662892289328687,803.056481802107,"GAPDH",0.812577644983552
0.0182000548932562,-144.517004781273,"Rb IgG",0.282216319537718
0.192970772891549,1533.35751986072,"CD45",0.530845475276919
0.426151786543978,-47.5554881459518,"CD163",0.674740328694632
0.242373332559968,436.788360577189,"CD34",0.530845475276919
0.0971119035454395,-1968.5907822223,"Ki-67",0.425998668415144
0.0943415424546584,-171.370205777001,"Rt IgG2a",0.425998668415144
0.100894421466745,-137.252508728917,"GFP",0.425998668415144
0.186946354939575,-70.0977404195606,"Rt IgG2b",0.530845475276919
0.146707708935293,-78.8040841624159,"Ly6G/Ly6C",0.530845475276919
0.580540893937701,89.7568473712747,"CD11c",0.792908091813422
0.30145871494462,290.892478682884,"F4/80",0.577100564555703
0.235424831381076,102.222792480284,"MHC II",0.530845475276919
0.584248067651995,-40.658503032221,"CD68",0.792908091813422
0.791075054474668,-22.0132975156924,"PD-L1",0.858881487715354
0.486380965500082,1602.83188510021,"CD11b",0.718022373860174
0.720981872532545,92.9886605096987,"CD39",0.842548960925587
0.0219049631804539,-217.684657299488,"CD31",0.282216319537718
0.634905989791416,52.2700794656673,"CD40L",0.804214253735793
0.238280144637828,-88.9080018383081,"CD27",0.530845475276919
0.0578558269129139,-180.096288299635,"BatF3",0.425998668415144
0.627988849881068,-123.317623756133,"GZMB",0.804214253735793
0.0222802357529777,-174.358975113555,"CD19",0.282216319537718
0.788699329262833,-9.84664112787068,"PD-1",0.858881487715354
0.335855724937625,-54.2770757006742,"CD3e",0.580114433983171
0.918971581429873,50.5621066026558,"Fibronectin",0.918971581429873
0.824106015832382,-7.86029093388852,"CD4",0.869889683378625
0.251453119868014,-63.0885068283372,"CD8a",0.530845475276919
0.0760000700040549,-120.816504392943,"CD28",0.425998668415144
0.381072821954926,-29.9041151413439,"FOXP3",0.629598575403791
0.334894463936464,-32.4990247805702,"CD40",0.580114433983171
0.907454526045856,-47.2236249135214,"CD14",0.918971581429873
0.209201072897282,7073.62178308737,"CD44",0.530845475276919
0.170185866120388,-98.2686865685714,"ICOS",0.530845475276919
0.0858976161479549,127.445185396708,"CD86",0.425998668415144
