"p_value","log_fold_change","gene","adjusted_p_value"
2.52160649167627e-05,-1770.67977059942,"S6",0.000686159210898759
0.0230709438723796,-1270.11612128813,"CD127/IL7RA",0.073057988929202
0.0746816171014429,34246.1268252014,"Histone H3",0.157661191658602
0.000482940924409053,3583.52440599882,"GAPDH",0.0036703510255088
0.049176210251707,89.393593878409,"Rb IgG",0.133478284968919
0.490137046876703,144.10564136919,"CD45",0.620840259377157
0.172358160070039,-70.4687236679959,"CD163",0.261984403306459
0.837436852790098,-67.4304870613623,"CD34",0.845574446157133
0.01258935411957,3250.78942121732,"Ki-67",0.0478395456543658
0.845574446157133,-13.7551761812087,"Rt IgG2a",0.845574446157133
0.785372243950706,-17.2371936400769,"GFP",0.845574446157133
0.643386332235266,14.6560329405461,"Rt IgG2b",0.752291763410547
0.0621267970231869,151.700254152265,"Ly6G/Ly6C",0.144051193816145
0.000289252880158347,-484.344817268254,"CD11c",0.00350476779890087
0.14116029941298,-136.159921543378,"F4/80",0.223503807403885
0.00155172654052643,-231.369717016238,"MHC II",0.00842365836285776
0.000368922926200092,-273.075102372362,"CD68",0.00350476779890087
0.814676318976277,-25.0142788419486,"PD-L1",0.845574446157133
0.550446121511424,-278.2177114997,"CD11b",0.674740407014003
0.0591426377330429,-210.940571807507,"CD39",0.144051193816145
0.229859645079631,120.12105717357,"CD31",0.319920449211469
0.117204000987406,-128.866504781241,"CD40L",0.204841285703032
0.386244880249953,-69.0097596848448,"CD27",0.50611398101718
0.00213727927667398,325.422391748593,"BatF3",0.0101520765642014
0.00123466307553893,-811.759978280209,"GZMB",0.00781953281174659
3.6113642678882e-05,270.700752177531,"CD19",0.000686159210898759
0.0173910538354549,-57.3968075635284,"PD-1",0.0600781859770262
0.0644439551282755,-81.6671123644487,"CD3e",0.144051193816145
0.0453737226696118,488.063858592596,"Fibronectin",0.132630881649634
0.227171438905439,-31.9307941755735,"CD4",0.319920449211469
0.0955856938412688,-94.3467856459323,"CD8a",0.181612818298411
0.653306005067054,29.2612796548127,"CD28",0.752291763410547
0.124030614835616,-36.9580290610262,"FOXP3",0.204920146250147
0.235730857313714,-34.4412766677825,"CD40",0.319920449211469
0.0947130876748896,-451.721463784539,"CD14",0.181612818298411
0.810365183588085,-233.55667053644,"CD44",0.845574446157133
0.118592323301755,-87.2748067347578,"ICOS",0.204841285703032
0.00243524856902962,-308.014064817353,"CD86",0.0102821606247917
